,Code,Website,Address,Phone,City,State,Zip,Country,Director1,Director2,Director3,Director4,Director5,Director6,Director7,Director8,Director9,Director10,Director11,Director12,Director13,Director14,Director15,Director16,Director17,Director18,Director19,Director20
1212,EGL,https://www.environmental.com.au,"315 Ferntree Gully Road; Suite 2.03, Level 2",61 3 9763 6711,Mount Waverley,VIC,3149,Australia,Mr. Jason  Dixon,Mr. Andrew  Bush,Ms. Brenda  Borghouts,Mr. Paul Walter Gaskett,"Ms. Katherine  Goland CPA, GIA(Cert)",,,,,,,,,,,,,,,
1213,IMB,https://www.threatprotect.com.au,672 Murray Street; Level 1,1300 847 328,West Perth,WA,6005,Australia,Mr. Dennison  Hambling C.F.A.,Mr. Robert  Hilton,Mr. Eason  Ramanathan,Mr. Neil  Green,,,,,,,,,,,,,,,,
1214,BET,https://www.thebetmakers.com,Level 4; 189 Flinders Lane,61 1 300 208 849,Melbourne,VIC,3000,Australia,Mr. Matthew Stuart Davey,Mr. Jake  Henson,Mr. Todd Cameron Buckingham,Mr. Anthony  Pullin,Mr. Martin  Tripp,Mr. Karl Alexander Begg,Mr. Oliver  Shanahan,Jane  Morgan,Mr. Sam  Adams,Ms. Chelsey  Abbott,,,,,,,,,,
1215,TGM,https://www.thetagoldmines.com,International Tower One; Suite 80 Level 35 (Servcorp) 100 Barangaroo Avenue,61 2 8046 7584,Sydney,NSW,2000,Australia,"Mr. Charles William Guy AIG, B.Sc. Geology","Mr. Brent  Hoffman B.Com., L.L.B.",Mr. Jacques Frans Du Triou,Mr. Johan  Fourie,Ms. Natasha  Thomas,Ms. Elane  Botha,,,,,,,,,,,,,,
1216,DXB,https://dimerix.com,425 Smith Street,1300 813 321,Fitzroy,VIC,3065,Australia,"Dr. Nina  Webster B.Sc., M.B.A., M.IP.Law, MBA, Ph.D.","Mr. Hamish  George B.Com., C.A.","Dr. David Everett Fuller BPharm, M.D., MBBS","Mr. Kevin Donald George Pfleger BA (Hons), MA, Ph.D.",Mr. Robert  Shepherd,,,,,,,,,,,,,,,
1217,VYS,https://www.vysarn.com.au,640 Murray Street; Level 1,61 8 6144 9777,West Perth,WA,6005,Australia,"Mr. James  Clement AICD, B.Sc, Dip.AF, MBA",Mr. Sheldon  Burt,Mr. Matthew  Power,,,,,,,,,,,,,,,,,
1218,NAM,https://www.namoicotton.com.au,259 Ruthven Street,61 7 4631 6100,Toowoomba,QLD,4350,Australia,Mr. Timothy J. Watson,Mr. Andrew  Baldwin,"Mr. Shane  McGregor M.B.A., MBA, MPM, USDA",Ms. Milena  McKenzie,Mr. Andrew  Metcalfe CPA,Mr. Neil  Johns B.Com.,,,,,,,,,,,,,,
1219,REX,https://www.rex.com.au,PO BOX 807,61 2 9023 3555,Mascot,NSW,1460,Australia,Mr. Kim Hai Lim,Mr. Neville  Howell,Mr. Mayooran  Thanabalasingam,Mr. Paul  Fisher,Mr. Irwin  Tan,Mr. Anthony  Gibara,,,,,,,,,,,,,,
1220,RCE,https://www.recce.com.au,"Level 23, 180 George Street; Salesforce Tower",61 2 9256 2505,Sydney,NSW,2000,Australia,Dr. John K. A. Prendergast Ph.D.,Mr. James Hamilton-Bray Graham GAICD,"Ms. Michele Keryn Diliza BA (Journ), BSc (Med Sci)",Dr. Justin  Ward,Mr. Arthur  Kollaras,"Dr. Alan W. Dunton B.Sc., M.D.",Mr. Justin  Reynolds,"Mr. Daniel  Astudillo B.A., B.Com., M.B.A.",Ms. Maggie  Niewidok,,,,,,,,,,,
1221,SXG,https://www.southerncrossgold.com.au,459 Collins Street; Level 21,61 3 8630 3321,Melbourne,VIC,3000,Australia,"Mr. Michael Robert Hudson B.Sc., B.Sc.(Hons), FAusIMM, GDipAppFin, MAIG, MSE","Mr. Justin  Mouchacca B.Bus (Acc), C.A., CA",Mr. Nicholas  Mead B.A.,Mr. Zac  Turschwell,Mr. Kenneth  Bush,,,,,,,,,,,,,,,
1222,SNC,https://www.sandoncapital.com.au,Level Five; 139 Macquarie Street,61 2 8014 1188,Sydney,NSW,2000,Australia,"Mr. Mark Andrew Licciardo B Bus (Acc), FCIS, FGIA, GAICD, GradDip CSP",,,,,,,,,,,,,,,,,,,
1223,ARA,https://www.ariadne.com.au,Chifley Tower; Level 27 2 Chifley Square,61 2 8227 5500,Sydney,NSW,2000,Australia,"Mr. Natt M. McMahon B Com, B.Com., C.A., CA, FCIS, FGIA, M AppFin, SA","Mr. Daniel A. Weiss BCom, LLB","Dr. Gary Hilton Weiss A.M., JSD, L.L.B., L.L.M., LLB (Hons)",,,,,,,,,,,,,,,,,
1224,LIS,https://www.lis.energy,"120 Edward Street; Suite 13B, Level 13",61 7 3054 4555,Brisbane,QLD,4000,Australia,"Dr. Lee John Finniear B Eng (Hons), B.Sc., Faicd., Ph.D.","Dr. Stephen  Rowlands B.Sc., Ph.D.",Mr. Glenn Robert Molloy,Ms. Sarah  Price,Mr. Tim  Hanley,Mr. Liam  Fairhall,Mr. Will  Shiel B.A.,G.  Walsh,,,,,,,,,,,,
1225,BUB,https://www.bubsaustralia.com,23 Nina Link,61 2 9905 0050,Dandenong South,VIC,3175,Australia,"Mr. Reginald  Weine B. Bus., C.P.M.",Mr. Robin  Johnston,Mr. Richard  Paine,Ms. Vivian  Zurlo,Mr. Dylan  Lu,"Mr. James Richard Stephenson C.A., C.M.A., C.P.A., CMA, CMA (Canada), CMA and F",,,,,,,,,,,,,,
1226,RDG,https://www.resdevgroup.com.au,14 Walters Drive; Level 3,61 8 9443 2928,Osborne Park,WA,6017,Australia,Mr. Andrew Blair Ellison,Mr. Michael Patrick Kenyon,,,,,,,,,,,,,,,,,,
1227,CNB,https://carnabyresources.com.au,78 Churchill Avenue,61 8 6500 3236,Subiaco,WA,6008,Australia,"Mr. Robert Holmes Watkins B.Sc., BSc (Hons), MAusIMM","Mr. Gregory Michael Barrett B.Com., B.Comm, C.A., CA, FFin",Mr. Steven  Bowler,,,,,,,,,,,,,,,,,
1228,LMG,https://www.latrobemagnesium.com,80 Clarence Street; Suite 504 Level 5,61 2 9279 2033,Sydney,NSW,2000,Australia,Mr. David Oliver Paterson,Mr. John Robert Lee,Mr. John D. S. Collier,Mr. Ronan  Gillen,Mr. Jim  Siemon,Mr. D.  Stewart,,,,,,,,,,,,,,
1229,TOP,https://www.thorneyopportunities.com.au,Level 39; 55 Collins Street,,Melbourne,VIC,3000,Australia,"Mr. Craig  Smith ACIS, B.Bus (Acct), CPA, GIA(Cert)",,,,,,,,,,,,,,,,,,,
1230,EQR,https://www.eqresources.com.au,6888 Mulligan Highway,61 7 4094 3072,Mount Carbine,QLD,4871,Australia,Mr. Kevin Bruce MacNeill,Ms. Natasha  Troughton,Mr. Anthony Lloyd Bainbridge,"Ms. Melanie Jaye Leydin B.Bus, C.A.",Mr. Kong Seng Yong CPA,,,,,,,,,,,,,,,
1231,KKO,https://www.kinetiko.com.au,283 Rokeby Road,61 8 6315 3500,Subiaco,WA,6008,Australia,Mr. Adam James Sierakowski-Dutton LLB,Mr. Nicholas de Blocq Van Scheltinga,"Mr. Simon  Whybrow ACIS, B.Bus, CPA",,,,,,,,,,,,,,,,,
1232,PAN,https://panoramicresources.com,553 Hay Street; Level 9,61 8 6374 1700,Perth,WA,6000,Australia,"Mr. Rickman Victor Rajasooriar AusIMM, BEng","Mr. Grant A. Dyker B.Com, CA, CTA (Fellow)",Mr. Bryan  Watson,Mr. Andrew  Shaw-Stuart,"Ms. Susan Patricia Park A.C.A., A.C.I.S., ACSA, AGIA, B.Com., F Fin, FCIS",,,,,,,,,,,,,,,
1233,ATC,https://www.altechgroup.com,295 Rokeby Road; Suite 8,61 8 6168 1555,Subiaco,WA,6008,Australia,"Mr. Ignatius Kim-Seng Tan B.Sc., GAICD, M.B.A.","Mr. Martin  Stein B.Bus CA, C.A., C.S., FCIS",Mr. Carsten  Baumeister,Dr. Jingyuan  Liu AAICD,Ms. Lydia  Toh FCCA,,,,,,,,,,,,,,,
1234,ASN,https://www.ansonresources.com,10 Eagle Street; Level 3,61 7 3132 7990,Brisbane,QLD,4000,Australia,"Mr. Bruce Andrew Richardson B.A., BA (Hons)",Mr. Peter Gregory Knox B.Sc.,Mr. Mathew  Beattie,Mr. Timothy  Murray,"Mr. Chik Ong  Chen ACIS, ACSA, B.Com., BCom, FCIS, GradDipAppFin, M.B",,,,,,,,,,,,,,,
1235,ENR,https://www.encounterresources.com.au,1 Alvan Street; Suite 2,61 8 9486 9455,Subiaco,WA,6008,Australia,"Mr. William Michael Robinson B.Com., B.Comm, MAusIMM",Mark  Brodie,Sarah  James,"Mr. Kevin Ronald Hart B.Com., B.Comm (Hons), C.A., F.C.A.","Mr. Daniel  Travers B.Sc (Hons), B.Sc., FCCA",,,,,,,,,,,,,,,
1236,MMI,https://www.metromining.com.au,135 Wickham Terrace; Level 4,61 7 3009 8000,Brisbane,QLD,4000,Australia,Mr. Simon  Wensley,Mr. Nathan  Quinlin,Mr. Gary  Battensby,Ms. Cherie  Everett,Ms. Robin  Bates,,,,,,,,,,,,,,,
1237,VLS,https://vitalifesciences.com,Bath Road; Unit 1/102,61 2 9545 2633,Kirrawee,NSW,2232,Australia,Mr. Andrew W. O'Keefe,"Mr. Chin Leng Khoo AGIA, C.A., C.P.A., M.B.A.",Ms. Melissa  Pereira,Mr. Shaun  Rutherford,Ms. June  Lau,Alexandra  Ward,,,,,,,,,,,,,,
1238,MCA,https://aquna.com,2 – 4 Lasscock Road,61 2 6962 5470,Griffith,NSW,2680,Australia,Mr. Ross James Anderson,Ms. Wendy  Dillon C.A.,Mr. Matthew John Ryan,"Mr. Brett William Tucker B.Com (UWA), B.Com., C.A.",,,,,,,,,,,,,,,,
1239,CRD,https://conradasia.com,"South Quarter Tower A, Unit H; 15th Floor JI. R.A. Kartini Kav. 8 Cilandak",,Jakarta Selatan,,12430,Indonesia,Mr. Miltiadis  Xynogalas,Mr. David Antony  Johnson,Ms. Patricia  Lee,Ms. Yuik-Neen  Ting,Egbert  Siagian,Mr. Diego  Fettweis M.B.A.,,,,,,,,,,,,,,
1240,KOV,https://www.korvest.com.au,580 Prospect Road,61 8 8360 4500,Kilburn,SA,5084,Australia,"Mr. Chris A. Hartwig B.A., M.A.I.C.D.","Mr. Steven John William McGregor A.C.I.S., ACIS, AGIA, B.A., BA(Acc), CA, F.C.A.",Mr. Gavin  Christie,,,,,,,,,,,,,,,,,
1241,CKA,https://www.cokal.com.au,56 Pitt Street; Level 5,61 2 8823 3177,Sydney,NSW,2000,Australia,Mr. Karan  Bangur B.Com.,Mr. Andrew  Ichwan CPA,Mr. Loke Cherng Huei,Mr. Luki  Wilianto,Mr. Andri  Ferdinand,Pak  Sukardi,"Ms. Louisa Anne Martino B.Com, B.Com., C.A., CA, SA Fin",Ms. Yuan  Yuan,"Mr. Victor H. Kuss BComm, CA",,,,,,,,,,,
1242,PCG,https://pengana.com,Level 27; Governor Phillip Tower 1 Farrer Place,61 2 8524 9900,Sydney,NSW,2000,Australia,"Mr. Russel Craig Pillemer B COM(HONS), CA",Ms. Katrina Elizabeth Glendinning,Mr. Keith  McLachlan,Mr. Nicholas Charles Griffiths CFA,Mr. Daniel  Fine,Ms. Paula Cristina Ferrao,"Mr. Robert Hugh Barry B.Com, FCPA, FAICD",,,,,,,,,,,,,
1243,IR1,https://www.irismetals.com,38 Rowland Street; Level 2,,Subiaco,WA,6008,Australia,Mr. Damien John Henderson FCPA,"Mr. Christopher Alan David Connell AIG, BSc (Hons)","Mr. Peter Ashley Marks BEC, Grad. Dip., L.L.B., M.B.A.","Mr. David James Franks BEc, C.A., F Fin, J.P.",,,,,,,,,,,,,,,,
1244,AMA,https://amagroupltd.com,484 St Kilda Road; Level 13,61 3 7066 5022,Melbourne,VIC,3004,Australia,Mr. Matthew  Cooper,Mr. Geoff  Trumbull,Ms. Alexandra  Holston,Andrew  Mair,"Mr. Mark Andrew Licciardo B Bus (Acc), FCIS, FGIA, GAICD, GradDip CSP",,,,,,,,,,,,,,,
1245,GL1,https://globallithium.com.au,16 Ventnor Avenue; Level 1,61 8 6103 7488,Perth,WA,6005,Australia,Mr. Ronald  Mitchell,Mr. Matthew  Allen,Mr. James  Wakefield,Mr. Logan  Barber,"Mr. Kevin Ronald Hart B.Com., B.Comm (Hons), C.A., F.C.A.",Ms. Kim  Petrich,,,,,,,,,,,,,,
1246,SND,https://www.saundersint.com,"Building F; Suite 2.04, Level 2 Rhodes Corporate Park 1 Homebush Bay Drive",61 2 9792 2444,Rhodes,NSW,2138,Australia,Mr. Mark  Benson GAICD,Mr. Brett  Gregory,Mr. Angelo  De Angelis,Ms. Kala  Notley,,,,,,,,,,,,,,,,
1247,HNG,https://www.hancockandgore.com.au,107 Pitt Street; Level 5,61 2 8667 4660,Sydney,NSW,2000,Australia,"Mr. Alexander Damien-Harry Beard AIDC, B.Com., B.Com. (UNSW), F.C.A., M.A.I.C.D.","Mr. D. Nishantha Seneviratne A.C.I.S., A.C.M.A., ACIS, ACMA, AGIA, AICM, C.P.A.","Mr. Joseph  Constable B.A., M.P.H.",Mr. Max  Crowley,,,,,,,,,,,,,,,,
1248,EP1,https://www.eap.com.au,1 O' Connell Street; Level 32,61 2 8070 6600,Sydney,NSW,2000,Australia,Mr. Stephen  Hill,Mr. Paul  Ryan,Mr. Francis  Araullo,Mr. Tony  Johnson,Mr. Ben  Keeble,Mr. Michael  Adams,Ms. India  McLean,Rose  Clark,Mr. Richard Anthony-Lang Hunt,Mr. Lyle  Meaney,,,,,,,,,,
1249,ART,https://www.airtasker.com,24 Campbell Street; Level 6,,Sydney,NSW,2000,Australia,Mr. Timothy John Fung,Mr. Mahendra  Tharmarajah,Mr. Mark  Simpson,Ms. Noelle  Kim,Ms. Isa  Notermans,Mr. Patrick  Collins,,,,,,,,,,,,,,
1250,BRE,https://brazilianrareearths.com,139 Macquarie Street; Level 1,61 7 3854 2387,Sydney,NSW,2000,Australia,"Mr. Todd William Hannigan B. Eng (Hons), B.E., M.B.A.",Dr. Bernardo  da Veiga Ph.D.,Mr. Stephen  Kelly A.C.A.,Mr. Renato  Gonzaga,Mr. Alexandre Magno Rocha da Rocha,Mr. Tiago  Abreu,,,,,,,,,,,,,,
1251,HZR,https://hazergroup.com.au,99 St Georges Terrace; Level 9,61 8 9329 3358,Perth,WA,6000,Australia,Mr. Glenn  Corrie,Mr. Neil  Brodie,Mr. Mark  Edwards,Mr. Tim  Forbes,Ms. Belinda  Wilson,Mr. Luc  Kox,Ms. Joan  Dabon,,,,,,,,,,,,,
1252,FHE,https://www.frontierhe.com,140 St Georges Terrace; Level 20,61 8 9200 3428,Perth,WA,6000,Australia,Mr. Grant Lawrence Burnaford Davey B.Sc.,Mr. Chris  Bath,Mr. Adam  Kiley CPA,Mr. Warren  King,,,,,,,,,,,,,,,,
1253,CLX,https://www.ctilogistics.com,1 Drummond Place,61 8 9422 1100,West Perth,WA,6005,Australia,Mr. David Robert Watson,Mr. Bruce Edmond Saxild,Mr. David Anderson Mellor,Mr. Matthew David Watson,Mr. Owen Roy Venter,,,,,,,,,,,,,,,
1254,CAM,https://www.climecapital.com.au,Level 12; 20 Hunter Street,61 2 9252 8522,Sydney,NSW,2000,Australia,"Mr. Richard J. A. Proctor BBS (Hons), ACA",Mr. Andrew  Metcalfe CPA,"Mr. Darren  Katz Bcom(Econ), CFA",Philip J. Lord,Mr. Michael  Kloeckner,Mitchell  Sneddon,,,,,,,,,,,,,,
1255,ABY,https://www.adorebeautygroup.com.au,421 High Street; Level 1,61 3 9344 1671,Northcote,VIC,3070,Australia,Ms. Tamalin  Morton,Ms. Katy Ann Morris,Mr. James Alexander Height,Ms. Stephanie  Carroll,Ms. Sarah  Mullen,Mr. Gareth  Williams,Mr. Daniel  Ferguson,Ms. Milly  Gunn,Ms. Melissa  Jones,,,,,,,,,,,
1256,ACE,https://www.acusensus.com,31 Queen Street; Level 6,61 13 0021 4697,Melbourne,VIC,3000,Australia,"Mr. Alexander  Jannink B.Comp Sci, B.E., BCS, BEng Mechatr, M.B.A., MBA (","Mr. Mark Alan Lawrence B.Bus. (Acc.), C.A.","Mr. Christopher  Kells B.E., BCS","Ms. Olivia  Byron B.Com., L.L.B.",Mr. Andrew  Matthews,Mr. Shaun  Miller,Ms. Annmarie  McMath,,,,,,,,,,,,,
1257,FSA,https://www.fsagroup.com.au,1 Oxford Street; Level 13,61 2 8985 5565,Darlinghurst,NSW,2010,Australia,Mr. Tim Odillo Maher,Ms. Cellina Z. Chen,Ms. Deborah  Southon,,,,,,,,,,,,,,,,,
1258,GLN,https://galanlithium.com.au,50 Kings Park Road; Level 1,61 8 9214 2150,West Perth,WA,6005,Australia,Mr. Juan Pablo Vargas de la Vega,Mr. Graeme  Fox,Mr. Alvaro  Henriquez,Mr. Michael J. Robbins,,,,,,,,,,,,,,,,
1259,GOW,https://www.gowings.com,"The Gowings Building; Suite 3, Level 3 35-61 Harbour Drive",61 2 9264 6321,Coffs Harbour,NSW,2450,Australia,"Mr. John Edward Gowing B.Comm, CA, CPA",Mr. James E. Gowing C.A.,"Mr. Ian H. Morgan A.C.I.S., C.A., L.L.M., M.A.I.C.D.",,,,,,,,,,,,,,,,,
1260,RAC,https://www.raceoncology.com,"Gateway, 1 Macquarie Place; Level 36",61 2 8051 3043,Sydney,NSW,2000,Australia,Dr. Daniel  Tillett,Dr. Peter M. Smith Ph.D.,Ms. Christina  Manfre,Prof. Tim  Hammond,Dr. Michelle  Rashford,"Mr. Peter Gordon Webse B.Bus, FCIS, FCPA, FGIA, M.A.I.C.D.",,,,,,,,,,,,,,
1261,HPG,https://hipagesgroup.com.au,255 Pitt Street; Level 10,61 2 8396 1300,Sydney,NSW,2000,Australia,Mr. Robert Eliahu Sharon-Zipser,Mr. Jaco  Jonker,Mr. Herry  Wiputra,Ms. Kylie  Quinlivan,Mr. Robert  Tolliday,Nicholas  Ellery,Ms. Jodette  Cleary,Mr. Stuart  Tucker,,,,,,,,,,,,
1262,EUR,https://europeanlithium.com,32 Harrogate Street,61 8 6181 9792,West Leederville,WA,6007,Australia,"Mr. Antony William-Paul Sage B.Bus, B.Com., BCom, C.A., CA, FCPA, FTIA",Mr. Dietrich Lothar Wanke,"Ms. Melissa Kate Chapman A.C.I.S., AGIA, B.Com., C.P.A.",Ms. Catherine  Grand-Edwards,,,,,,,,,,,,,,,,
1263,TGF,https://tribecaip.com/lic,1 O'connell Street; Level 23,61 2 9640 2600,Sydney,NSW,2000,Australia,Mr. Todd  Warren,Mr. Yang  Liu,,,,,,,,,,,,,,,,,,
1264,PAR,https://www.paradigmbiopharma.com,500 Collins Street; Level 15,61 3 9629 5566,Melbourne,VIC,3000,Australia,"Mr. Paul John Rennie BSc, Grad Dip, MBM, MSTC","Dr. Donna L. Skerrett M.D., MS","Ms. Abby  Macnish Niven B.Com., B.Sc., C.F.A.",Dr. Ravi  Krishnan,Mr. Simon  White,Dr. Michael  Imperiale,Ms. Beverley  Huttmann,Ms. Michelle  Coffey,Dr. Mukesh  Ahuja,,,,,,,,,,,
1265,PLT,https://www.plenti.com.au,14 Martin Place; Level 5,61 13 0076 8710,Sydney,NSW,2000,Australia,Mr. Daniel  Foggo,Mr. Miles  Drury,Mr. Glenn  Riddell,Mr. Benjamin  Milsom,Ms. Georgina  Koch,Mr. Simon  Cordell,,,,,,,,,,,,,,
1266,BTH,https://www.bigtincan.com,338 Pitt Street; Level 8,,Sydney,NSW,2000,Australia,Mr. David  Keane,Mr. Patrick  Welch,Cyril  Desouza,Mr. Vivian  Stewart,Mr. Kent  Erickson,Mike  Maggio,Mr. Stefan  Teulon,Ms. Debra Bond Cancro,Mr. Mark  Ohlsson,Ms. Tara  Garnett,,,,,,,,,,
1267,88E,https://www.88energy.com,516 Hay Street; Ground Floor,61 8 9485 0990,Subiaco,WA,6008,Australia,"Mr. Ashley Phillip Gilbert A Fin, B.Comm, CA, CSA(Cert), GAICD",Mr. Oliver  Mortensen,Mr. Robert  Benkovic,Ms. Elizabeth  Pattillo,"Ms. Sarah Jayne Smith C.A., BBus; CA",,,,,,,,,,,,,,,
1268,GLB,https://www.globecorporate.com,1 Fennell Street,61 3 8534 9999,Port Melbourne,VIC,3207,Australia,Mr. Matthew Patrick Hill,Mr. Peter John Hill,Mr. Stephen David Hill,Mr. Gary  Valentine,Mr. Matthew  Wong,Mr. Jonathon  Moses,Ms. Karen  Browne,Ms. Samantha  Cook,,,,,,,,,,,,
1269,EOL,https://www.energyone.com,77 Pacific Highway; Level 13,61 2 8916 2200,North Sydney,NSW,2060,Australia,Mr. Shaun  Ankers BSc (Hons),Mr. Guy  Steel,Dr. Daniel John Ayers,Mr. Simon  Wheeler,Mr. Paul  Gramenz,,,,,,,,,,,,,,,
1270,BIS,https://www.bisalloy.com.au,18 Resolution Drive; PO Box 1246,61 2 4272 0444,Unanderra,NSW,2526,Australia,"Mr. Rowan  Melrose B.E., M.B.A.","Mr. Carl  Bowdler FCPA, M.A.I.C.D.",Mr. Matthew  Enbom,Dr. Dake  Yu,Mr. Andrew  Huckstepp,,,,,,,,,,,,,,,
1271,WR1,https://www.winsomeresources.com.au,16 Ord Street; Level 1,61 4 1985 3904,West Perth,WA,6005,Australia,Mr. Christopher Allan Evans,"Mr. Peter Richard Youd AICA, AICD, BBus(ACCT.), FAICS",Dr. Genevieve  Morinville,"Mr. Simon  Iacopetta BCom, CA, GCertAppFin","Mr. Antoine  Fournier M.Sc., P. Geo.",,,,,,,,,,,,,,,
1272,RHK,https://redhawkmining.com.au,23 Ventnor Avenue; Ground Floor,61 8 9389 4483,West Perth,WA,6005,Australia,"Mr. Steven George Michael B.Com., C.A., M.A.I.C.D.",Mr. Matthew  Owen,Dr. Andrew Scott Whitehead,Mr. Adam  Hall,"Ms. Shannon Louise Coates A.C.I.S., ACS, B.A., BJuris, GAICD, GIA (cert), L.",Ms. Sarah  Wilson,,,,,,,,,,,,,,
1273,SHJ,https://www.shinejustice.com.au,160 Ann Street; Level 13,61 7 3006 6000,Brisbane,QLD,4000,Australia,"Mr. Simon Michael Morrison L.L.B., LLB","Mr. Ravin  Raj A.C.A., ACA, ASIA, B.Com, B.Com.",Ms. Jodie  Willey LLB (Hons),"Ms. Lisa  Flynn B.Com., Bcom, L.L.B., LLB (Hons)","Mr. Stephen Robert Rochester B.Ec, FAIM, FCPA, GAICD, LLB, LLM, MAICD","Ms. Annette  O'Hara B.A., BA/LLB (Hons), FGIA, L.L.B., L.L.M., LLM",,,,,,,,,,,,,,
1274,CCX,https://www.citychiccollective.com.au,151-163 Wyndham Street,61 2 9059 4300,Alexandria,NSW,2015,Australia,Mr. Philip  Ryan M.B.A.,Mr. Peter  McClelland,"Ms. Jacqueline Anne Shanahan BA, LLB",,,,,,,,,,,,,,,,,
1275,CYL,https://www.catalystmetals.com.au,30 Richardson Street; Level 1,61 8 6324 0090,West Perth,WA,6005,Australia,Mr. James Champion de Crespigny,Ms. Donna  Thornton,Mr. Bruce David Kay,Mr. Mick  Garbellini,Mr. Paul  Quigley,"Mr. Frank J. Campagna B.Bus. (Acc), C.P.A., CPA",Mr. Valentine  Utete,Mr. Adam  Place,,,,,,,,,,,,
1276,SEC,https://spheria.com.au/funds/spheria-emerging-companies-limited-asx-sec,Australian Square Tower; Level 25 264 George Street,61 1 3000 10311,Sydney,NSW,2000,Australia,Mr. Matthew  Booker,Mr. Adam  Lund,Daniel  Peters,Mr. Calvin  Kwok,Mr. Marcus Stephen Ferguson Burns,,,,,,,,,,,,,,,
1277,EXP,https://experienceco.com,89 York Street; Level 5,61 1 3006 63634,Sydney,NSW,2000,Australia,Mr. John  O'Sullivan,Mr. Gavin  Yates,Ms. Courtney  Butler,Kathryn  O'Brien,Ms. Fiona  van Wyk,,,,,,,,,,,,,,,
1278,HCH,https://www.hotchili.net.au,768 Canning Highway; First Floor,61 8 9315 9009,Applecross,WA,6153,Australia,"Mr. Christian Ervin Easterday BSc, MSc",Mr. Grant  King,Mr. Jose Ignacio Silva,Ms. Penelope  Beattie,"Dr. Steven Lee Garwin BSc, FSEG, MAusIMM, MSc",Mr. Aran  Nagendra CFA,Dr. John  Beeson,,,,,,,,,,,,,
1279,SPZ,https://www.smartparking.com,85 Dundas Place; Albert Park,61 3 8644 4021,Port Melbourne,VIC,3206,Australia,Mr. Paul  Gillespie,Mr. Richard  Ludbrook,Ms. Johanna  Hiney,Mr. Emil  Strobl,Ms. Rebecca  Grainger,Mr. Ben  Williams,Mr. Peter  Coakley,Mr. Kin  Chan,Ms. Angela  Weusten,Mr. David  Collings,,,,,,,,,,
1280,NOL,https://www.nobleoak.com.au,44 Market Street; Level 4,61 1 3000 41494,Sydney,NSW,2000,Australia,Mr. Anthony R. Brown,Mr. Scott  Pearson,Mr. Matt  Minney,Ms. Suzanne  Barron BScLLB,Ms. Moana  Kolesi,Rob  Treacy,Ms. Kama  Ghosn,Mr. Phil  Hill,Mr. Matthew  Wilson,Ms. Tatyana  Marfenko,,,,,,,,,,
1281,NXD,https://nexted.com.au,7 Kelly Street; Level 2,61 2 8355 3820,Ultimo,NSW,2007,Australia,"Mr. Glenn Patrick Elith B Bus (UTS), CA","Mr. Michael  Fahey ACA, BEC, FAICD",Ms. Ruby  Biscuit,Ms. Emma  Thompson,Mr. Shin  Shimizu,"Ms. Lisa  Jones L.L.B., LLB",,,,,,,,,,,,,,
1282,SBM,https://stbarbara.com.au,58 Mounts Bay Road; Level 19,61 8 9476 5555,Perth,WA,6000,Australia,Mr. Andrew  Strelein B.Com.,Ms. Sara  Prendergast,Mr. David  Cotterell,Ms. Kylie  Panckhurst,Ms. Justine  Fisher,Mr. Peter  Cowley,Mr. Jason  Robertson,,,,,,,,,,,,,
1283,PIQ,https://www.proteomics.com.au,QEII Medical Centre; QQ Block 6 Verdun Street Nedlands,61 8 9389 1992,Perth,WA,6009,Australia,"Dr. Richard John Lipscombe M.A., MA (Oxford), Ph.D., Ph.D., (London)",Ms. Jacqueline  Gray,Mr. John Chuck Morrison,Dr. Scott  Bringans,Dr. Pearl  Tan,Mr. Vikesh  Malik,Dr. Kirsten  Peters,"Ms. Karen Teresa Logan ACIS, B.Com., BCom, DipAppCorpGov, F Fin, FCIS, FC",,,,,,,,,,,,
1284,HFR,https://www.highfieldresources.com.au,Avenida Carlos III N 13–1B,34 948 05 05 77,Pamplona,,31002,Spain,Mr. Ignacio  Salazar,Mr. Javier  Aguado,Mr. Olivier  Vadillo,Ms. Susana  Bieberach,Mr. Javier  Olloqui,"Mr. Peter Geoffrey  Albert B.Sc., BSc (Hons), CEng, EMBA, FAusIMM, M.A.I.C.D.",Mr. Leonardo  Torres-Quevedo,Mr. Jorge  Velasco,Mr. Jorge  Feito,Mr. Carles  Aleman,,,,,,,,,,
1285,CPV,https://www.clearvuepv.com,567 Newcastle Street; Suite 9,61 8 9220 9020,West Perth,WA,6005,Australia,"Mr. Victor  Rosenberg Dip Pharm, M.P.S(SA)",Mr. Martin  Deil,Mr. Geoffrey  Edwards,Mr. Earle  Harper,"Mr. Jamie  Lyford B.Com., L.L.B., L.L.M.",Clifton  Smyth,Mr. Doug  Hunt,Mr. Tao  Zhang,Ms. Anna  Abrossimova,Dr. Jeroen ter Schiphorst,,,,,,,,,,
1286,LCY,https://www.legacyiron.com.au,200 Adelaide Terrace; Level 6,61 8 9421 2000,Perth,WA,6004,Australia,Mr. Rakesh  Gupta,Mr. Koteswara Rao Gollapall,"Mr. Benjamin Patrick Donovan A.C.I.S., B.Com., B.Comm (Hons)",,,,,,,,,,,,,,,,,
